OID_,hhpkm,nvpkm,areakm,hhn,nvn,hvn,grid,Shape_Length,Shape_Area,row,col
119,0.000000000000000,0.000000000000000,2.560000000000000,0,0,0,137,6400.000000000000000,2560000.000000000000000,25,
120,0.000000000000000,0.000000000000000,2.560000000000000,0,0,0,138,6400.000000000000000,2560000.000000000000000,25,
121,459.500000000000000,14.500000000000000,2.560000000000000,1176,37,1139,139,6400.000000000000000,2560000.000000000000000,25,
122,978.500000000000000,81.000000000000000,2.560000000000000,2505,207,2298,140,6400.000000000000000,2560000.000000000000000,25,
123,869.000000000000000,33.500000000000000,2.560000000000000,2225,86,2139,141,6400.000000000000000,2560000.000000000000000,25,
124,385.000000000000000,10.000000000000000,2.560000000000000,986,26,960,142,6400.000000000000000,2560000.000000000000000,25,
125,722.000000000000000,10.000000000000000,2.560000000000000,1848,26,1822,143,6400.000000000000000,2560000.000000000000000,25,
126,3.000000000000000,0.000000000000000,2.560000000000000,8,0,8,148,6400.000000000000000,2560000.000000000000000,25,
127,2.500000000000000,0.500000000000000,2.560000000000000,6,1,5,149,6400.000000000000000,2560000.000000000000000,25,
128,2.000000000000000,1.000000000000000,2.560000000000000,5,3,2,150,6400.000000000000000,2560000.000000000000000,25,
129,2.000000000000000,1.000000000000000,2.560000000000000,5,3,2,151,6400.000000000000000,2560000.000000000000000,25,
130,2.000000000000000,1.000000000000000,2.560000000000000,5,3,2,152,6400.000000000000000,2560000.000000000000000,25,
131,2.000000000000000,1.000000000000000,2.560000000000000,5,3,2,153,6400.000000000000000,2560000.000000000000000,25,
132,92.000000000000000,3.500000000000000,2.560000000000000,236,9,227,154,6400.000000000000000,2560000.000000000000000,25,
133,317.000000000000000,9.000000000000000,2.560000000000000,812,23,789,155,6400.000000000000000,2560000.000000000000000,25,
134,232.500000000000000,4.500000000000000,2.560000000000000,595,12,583,156,6400.000000000000000,2560000.000000000000000,25,
135,148.000000000000000,0.000000000000000,2.560000000000000,379,0,379,157,6400.000000000000000,2560000.000000000000000,25,
136,434.000000000000000,2.000000000000000,2.560000000000000,1111,5,1106,158,6400.000000000000000,2560000.000000000000000,25,
137,349.000000000000000,4.500000000000000,2.560000000000000,893,12,881,159,6400.000000000000000,2560000.000000000000000,25,
138,264.000000000000000,7.000000000000000,2.560000000000000,676,18,658,160,6400.000000000000000,2560000.000000000000000,25,
139,232.000000000000000,0.000000000000000,2.560000000000000,594,0,594,161,6400.000000000000000,2560000.000000000000000,25,
140,487.500000000000000,42.250000000000000,2.560000000000000,1248,108,1140,162,6400.000000000000000,2560000.000000000000000,25,
141,629.500000000000000,47.250000000000000,2.560000000000000,1612,121,1491,163,6400.000000000000000,2560000.000000000000000,25,
142,493.000000000000000,11.000000000000000,2.560000000000000,1262,28,1234,164,6400.000000000000000,2560000.000000000000000,25,
143,427.000000000000000,4.250000000000000,2.560000000000000,1093,11,1082,165,6400.000000000000000,2560000.000000000000000,25,
144,260.000000000000000,8.500000000000000,2.560000000000000,666,22,644,166,6400.000000000000000,2560000.000000000000000,25,
145,260.000000000000000,8.500000000000000,2.560000000000000,666,22,644,167,6400.000000000000000,2560000.000000000000000,25,
146,260.000000000000000,8.500000000000000,2.560000000000000,666,22,644,168,6400.000000000000000,2560000.000000000000000,25,
147,831.000000000000000,57.000000000000000,2.560000000000000,2127,146,1981,169,6400.000000000000000,2560000.000000000000000,25,
148,995.500000000000000,64.000000000000000,2.560000000000000,2548,164,2384,170,6400.000000000000000,2560000.000000000000000,25,
149,487.000000000000000,40.000000000000000,2.560000000000000,1247,102,1145,171,6400.000000000000000,2560000.000000000000000,25,
150,851.000000000000000,36.000000000000000,2.560000000000000,2179,92,2087,172,6400.000000000000000,2560000.000000000000000,25,
151,49.000000000000000,2.000000000000000,2.560000000000000,125,5,120,177,6400.000000000000000,2560000.000000000000000,25,
152,67.000000000000000,1.500000000000000,2.560000000000000,172,4,168,178,6400.000000000000000,2560000.000000000000000,25,
153,85.000000000000000,1.000000000000000,2.560000000000000,218,3,215,179,6400.000000000000000,2560000.000000000000000,25,
154,123.500000000000000,1.000000000000000,2.560000000000000,316,3,313,180,6400.000000000000000,2560000.000000000000000,25,
155,156.000000000000000,1.000000000000000,2.560000000000000,399,3,396,181,6400.000000000000000,2560000.000000000000000,25,
156,150.000000000000000,1.000000000000000,2.560000000000000,384,3,381,182,6400.000000000000000,2560000.000000000000000,25,
157,362.000000000000000,11.000000000000000,2.560000000000000,927,28,899,183,6400.000000000000000,2560000.000000000000000,25,
158,362.000000000000000,11.000000000000000,2.560000000000000,927,28,899,184,6400.000000000000000,2560000.000000000000000,25,
159,426.000000000000000,0.000000000000000,2.560000000000000,1091,0,1091,185,6400.000000000000000,2560000.000000000000000,25,
